RUN	examples.performance.StatusTest	statustest	1660618066933	 	3.7.4
USER	Get Application Status	START	1660618076522
USER	Get Application Status	START	1660618076553
USER	Get Application Status	START	1660618076584
USER	Get Application Status	START	1660618076614
USER	Get Application Status	START	1660618076661
USER	Get Application Status	START	1660618076693
USER	Get Application Status	START	1660618076725
USER	Get Application Status	START	1660618076756
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076535	1660618076763	OK	 
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076503	1660618076763	OK	 
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076737	1660618076763	OK	 
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076702	1660618076763	OK	 
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076595	1660618076763	OK	 
USER	Get Application Status	END	1660618076764
USER	Get Application Status	END	1660618076765
USER	Get Application Status	END	1660618076765
USER	Get Application Status	END	1660618076765
USER	Get Application Status	END	1660618076765
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076467	1660618076766	OK	 
USER	Get Application Status	END	1660618076768
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076671	1660618076767	OK	 
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076624	1660618076768	OK	 
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076575	1660618076769	OK	 
USER	Get Application Status	END	1660618076770
USER	Get Application Status	END	1660618076770
USER	Get Application Status	END	1660618076770
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076774	1660618076785	OK	 
USER	Get Application Status	END	1660618076786
USER	Get Application Status	START	1660618076787
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076796	1660618076803	OK	 
USER	Get Application Status	END	1660618076805
USER	Get Application Status	START	1660618076817
REQUEST		GET /user/get/62faae60194d7a50e482b5c7	1660618076825	1660618076830	OK	 
USER	Get Application Status	END	1660618076831
USER	Get Application Status	START	1660618076847
